,addr_state,annual_inc,emp_length,emp_title,home_ownership,installment,loan_amnt,purpose,term,int_rate,avg_cur_bal,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_last_delinq,num_bc_tl,num_il_tl,num_op_rev_tl,num_tl_90g_dpd_24m,num_tl_op_past_12m,open_acc,percent_bc_gt_75,pub_rec_bankruptcies,total_acc,total_bal_ex_mort,loan_status
23,NJ,116000.0,10+ years,care practitioner/giver,MORTGAGE,544.19,25000,credit_card,60 months,0.1105,9456.0,197.0,151.0,25.0,7.0,5,7.0,16.0,15.0,20.0,0.0,1.0,22,30.8,0,47,114922.0,Charged Off
24,AL,75000.0,2 years,nurse,MORTGAGE,584.79,18000,debt_consolidation,36 months,0.1047,51502.0,238.0,92.0,32.0,4.0,2,3.0,4.0,20.0,1.0,0.0,1.0,6,0.0,0,32,87597.0,Fully Paid
26,FL,56000.0,6 years,manager,MORTGAGE,406.72,13000,credit_card,36 months,0.0789,8836.0,138.0,146.0,10.0,10.0,1,11.0,19.0,13.0,12.0,0.0,2.0,17,33.3,0,53,33318.0,Fully Paid
27,NY,110000.0,8 years,police officer,RENT,496.83,22575,credit_card,60 months,0.1153,4190.0,183.0,167.0,16.0,3.0,5,61.0,4.0,33.0,8.0,0.0,1.0,22,100.0,0,51,92188.0,Charged Off
28,MI,45000.0,2 years,nurse,RENT,597.77,16200,debt_consolidation,36 months,0.1948,6026.0,75.0,43.0,11.0,2.0,0,0.0,3.0,12.0,8.0,0.0,2.0,11,100.0,0,20,66290.0,Fully Paid
29,TX,161000.0,10+ years,carter's furniture,MORTGAGE,847.42,35000,home_improvement,60 months,0.158,41030.0,214.0,179.0,72.0,4.0,3,0.0,8.0,31.0,8.0,0.0,2.0,13,0.0,0,47,77018.0,Fully Paid
30,VT,64000.0,10+ years,site coordinator,MORTGAGE,551.82,18075,debt_consolidation,60 months,0.2699,10475.0,196.0,131.0,4.0,1.0,2,32.0,15.0,26.0,7.0,0.0,9.0,14,50.0,0,44,65901.0,Charged Off
31,CA,133000.0,2 years,ICT expert,MORTGAGE,200.23,6400,debt_consolidation,36 months,0.0789,9645.0,137.0,154.0,78.0,24.0,1,41.0,4.0,11.0,2.0,0.0,0.0,4,0.0,0,17,38578.0,Fully Paid
33,WI,16000.0,1 year,technician,RENT,64.06,2000,other,36 months,0.0949,79.0,110.0,220.0,4.0,4.0,1,0.0,9.0,2.0,9.0,0.0,2.0,10,0.0,0,22,708.0,Fully Paid
34,LA,148800.0,3 years,mechanic,RENT,919.34,30000,debt_consolidation,36 months,0.0649,16481.0,14.0,103.0,13.0,13.0,0,0.0,4.0,1.0,4.0,0.0,0.0,6,0.0,0,7,98886.0,Fully Paid
35,MA,67000.0,10+ years,manager,RENT,789.91,30750,credit_card,60 months,0.1854,2628.0,84.0,112.0,12.0,8.0,0,0.0,30.0,3.0,20.0,0.0,2.0,23,13.3,0,46,60452.0,Charged Off
36,CA,130000.0,3 years,manager,MORTGAGE,705.7,30000,credit_card,60 months,0.1449,8933.0,154.0,214.0,16.0,16.0,0,0.0,10.0,9.0,3.0,0.0,0.0,6,100.0,0,23,53598.0,Fully Paid
37,SC,82000.0,1 year,creative pointe designs,MORTGAGE,798.52,24000,debt_consolidation,36 months,0.1212,14854.0,155.0,212.0,10.0,10.0,2,39.0,10.0,4.0,13.0,0.0,1.0,17,66.7,0,26,68570.0,Fully Paid
38,WA,106000.0,10+ years,school staff,MORTGAGE,289.02,8400,debt_consolidation,36 months,0.1447,26157.0,110.0,137.0,5.0,5.0,2,48.0,4.0,8.0,9.0,0.0,4.0,15,75.0,0,21,70028.0,Fully Paid
39,MA,45000.0,5 years,shared living provider specialist,MORTGAGE,271.84,8000,home_improvement,36 months,0.1359,13386.0,161.0,230.0,8.0,3.0,2,7.0,7.0,4.0,7.0,0.0,2.0,12,50.0,0,19,23623.0,Charged Off
40,PA,74544.0,10+ years,school staff,MORTGAGE,157.1,5000,credit_card,36 months,0.0818,3122.0,164.0,250.0,11.0,8.0,2,25.0,27.0,6.0,5.0,0.0,2.0,7,33.3,0,44,18733.0,Fully Paid
41,NC,45000.0,1 year,school staff,RENT,527.43,15000,debt_consolidation,36 months,0.1601,18653.0,116.0,107.0,27.0,3.0,0,12.0,4.0,28.0,8.0,2.0,1.0,10,50.0,0,39,149221.0,Fully Paid
42,CA,270000.0,10+ years,top executive,OWN,838.91,40000,home_improvement,60 months,0.0944,92783.0,73.0,331.0,3.0,3.0,8,63.0,5.0,5.0,4.0,0.0,3.0,9,25.0,0,23,74024.0,Fully Paid
43,CA,120000.0,10+ years,area controller,RENT,432.22,14000,debt_consolidation,36 months,0.0699,3631.0,165.0,141.0,10.0,10.0,5,6.0,3.0,12.0,6.0,0.0,1.0,13,0.0,0,28,43577.0,Fully Paid
45,GA,62400.0,< 1 year,bench work ( jelweler),MORTGAGE,318.75,10000,credit_card,36 months,0.0916,46548.0,137.0,175.0,29.0,4.0,1,42.0,5.0,5.0,3.0,0.0,1.0,6,0.0,2,12,43172.0,Fully Paid
47,FL,39700.0,6 years,chef,MORTGAGE,538.65,15875,debt_consolidation,36 months,0.1349,19324.0,49.0,135.0,10.0,3.0,1,0.0,5.0,3.0,4.0,0.0,2.0,7,50.0,0,12,31819.0,Fully Paid
50,AL,125000.0,10+ years,operator,MORTGAGE,378.2,12000,debt_consolidation,36 months,0.0839,40275.0,95.0,183.0,6.0,1.0,8,74.0,11.0,9.0,5.0,0.0,4.0,7,0.0,0,38,35518.0,Fully Paid
52,GA,80000.0,5 years,police officer,MORTGAGE,748.61,21000,debt_consolidation,36 months,0.1699,12288.0,192.0,248.0,1.0,1.0,1,43.0,6.0,7.0,10.0,0.0,3.0,13,66.7,0,21,65659.0,Fully Paid
53,MA,70000.0,2 years,marketing coordinator,MORTGAGE,880.11,24000,debt_consolidation,36 months,0.1903,5518.0,106.0,63.0,4.0,4.0,0,0.0,10.0,12.0,13.0,0.0,5.0,21,33.3,0,30,115888.0,Fully Paid
54,GA,200000.0,10+ years,human resources,MORTGAGE,302.34,9000,medical,36 months,0.1279,16856.0,148.0,266.0,9.0,1.0,3,0.0,8.0,15.0,17.0,0.0,5.0,27,100.0,0,44,184174.0,Fully Paid
55,NV,72000.0,5 years,admin officer/administrator,RENT,494.27,12600,debt_consolidation,36 months,0.2399,10571.0,133.0,167.0,13.0,6.0,1,17.0,4.0,33.0,7.0,0.0,3.0,11,50.0,0,43,116277.0,Fully Paid
56,GA,112000.0,6 years,manager,MORTGAGE,304.59,10000,credit_card,36 months,0.0608,3154.0,124.0,262.0,4.0,4.0,0,73.0,9.0,7.0,15.0,0.0,3.0,18,14.3,0,31,53623.0,Fully Paid
57,CA,50000.0,9 years,manager,MORTGAGE,806.77,22000,debt_consolidation,36 months,0.1903,11554.0,37.0,240.0,3.0,3.0,0,0.0,5.0,1.0,8.0,0.0,1.0,9,50.0,0,13,103989.0,Fully Paid
58,NY,40000.0,< 1 year,phlebotomist,RENT,513.25,15000,credit_card,36 months,0.1408,3778.0,110.0,113.0,24.0,24.0,0,22.0,5.0,8.0,5.0,4.0,0.0,11,0.0,0,22,41557.0,Fully Paid
59,IN,125000.0,6 years,manager,MORTGAGE,497.19,19475,debt_consolidation,60 months,0.1825,9446.0,121.0,89.0,11.0,2.0,0,0.0,8.0,14.0,4.0,0.0,6.0,8,0.0,0,23,75564.0,Fully Paid
60,NY,64000.0,10+ years,technician,RENT,56.86,1500,other,36 months,0.2145,1945.0,41.0,113.0,9.0,5.0,0,36.0,10.0,5.0,13.0,0.0,3.0,15,14.3,0,23,29169.0,Fully Paid
61,CA,38000.0,2 years,benefits specialist,RENT,327.34,10000,debt_consolidation,36 months,0.1099,1581.0,120.0,167.0,14.0,14.0,0,10.0,2.0,4.0,5.0,1.0,0.0,7,50.0,0,12,7906.0,Fully Paid
62,CA,150000.0,< 1 year,associate attorney,MORTGAGE,361.38,12000,credit_card,36 months,0.0532,42120.0,171.0,224.0,22.0,14.0,1,0.0,9.0,25.0,4.0,0.0,0.0,13,0.0,0,36,180813.0,Fully Paid
63,PA,56000.0,< 1 year,resident,RENT,49.82,1500,debt_consolidation,36 months,0.1199,1610.0,75.0,282.0,15.0,15.0,0,18.0,10.0,13.0,7.0,1.0,0.0,7,20.0,0,28,9658.0,Fully Paid
64,FL,44000.0,10+ years,maintenance,MORTGAGE,364.7,15000,debt_consolidation,60 months,0.1599,8860.0,119.0,353.0,13.0,12.0,14,34.0,15.0,6.0,5.0,0.0,1.0,7,50.0,2,54,53157.0,Fully Paid
65,PA,104000.0,10+ years,analyst,MORTGAGE,1190.45,35000,debt_consolidation,36 months,0.1366,43506.0,156.0,146.0,10.0,10.0,6,0.0,11.0,3.0,7.0,0.0,1.0,8,80.0,0,29,48278.0,Fully Paid
66,TX,50000.0,1 year,msr,RENT,283.28,12000,credit_card,60 months,0.1465,2617.0,108.0,98.0,2.0,2.0,0,61.0,12.0,11.0,12.0,0.0,7.0,15,12.5,0,28,39248.0,Charged Off
67,NY,775000.0,8 years,director,MORTGAGE,605.11,19600,home_improvement,36 months,0.0699,70443.0,97.0,215.0,23.0,4.0,2,0.0,6.0,4.0,6.0,0.0,1.0,11,100.0,0,17,90845.0,Fully Paid
68,CT,55000.0,10+ years,admin officer/administrator,OWN,587.66,20850,home_improvement,60 months,0.2299,3179.0,112.0,148.0,2.0,2.0,4,0.0,4.0,2.0,10.0,0.0,3.0,11,33.3,1,18,28613.0,Fully Paid
69,NC,145000.0,7 years,director,RENT,872.48,35000,debt_consolidation,60 months,0.1714,53211.0,136.0,245.0,37.0,23.0,4,0.0,10.0,8.0,4.0,0.0,0.0,7,100.0,0,28,64190.0,Fully Paid
70,GA,42000.0,5 years,food services,MORTGAGE,132.97,3625,debt_consolidation,36 months,0.1905,40531.0,16.0,115.0,24.0,9.0,3,6.0,2.0,2.0,1.0,0.0,1.0,4,0.0,0,7,43045.0,Fully Paid
71,TN,45000.0,7 years,supervisor,OWN,288.91,7775,debt_consolidation,36 months,0.1999,1135.0,124.0,81.0,8.0,8.0,0,0.0,9.0,7.0,15.0,0.0,4.0,16,22.2,1,23,18165.0,Fully Paid
72,NC,76000.0,10+ years,ass.professor,MORTGAGE,528.92,16000,credit_card,36 months,0.1167,1554.0,58.0,183.0,9.0,9.0,1,52.0,22.0,2.0,18.0,0.0,1.0,21,6.2,0,30,32626.0,Fully Paid
73,KS,70000.0,< 1 year,engineer,MORTGAGE,760.36,29175,debt_consolidation,60 months,0.1922,23203.0,82.0,117.0,2.0,2.0,1,0.0,9.0,10.0,5.0,0.0,2.0,10,100.0,0,27,70090.0,Fully Paid
74,FL,80000.0,< 1 year,technology,RENT,501.74,15000,debt_consolidation,36 months,0.1249,3577.0,3.0,69.0,16.0,3.0,0,5.0,11.0,1.0,9.0,0.0,1.0,10,12.5,0,13,35773.0,Charged Off
75,FL,50000.0,5 years,manager,RENT,194.18,4950,debt_consolidation,36 months,0.2399,2600.0,103.0,106.0,2.0,2.0,0,43.0,9.0,3.0,7.0,0.0,7.0,9,0.0,0,15,23402.0,Fully Paid
76,NY,42000.0,2 years,caseworker,OWN,462.42,14400,credit_card,36 months,0.0967,965.0,73.0,149.0,5.0,5.0,0,0.0,12.0,1.0,15.0,0.0,2.0,15,33.3,0,29,13503.0,Fully Paid
77,NJ,200000.0,7 years,partner,MORTGAGE,657.0,21000,home_improvement,36 months,0.0789,50166.0,57.0,135.0,9.0,9.0,2,7.0,9.0,2.0,6.0,0.0,1.0,9,25.0,0,17,12449.0,Fully Paid
78,MI,100000.0,10+ years,technician,MORTGAGE,434.3,12825,debt_consolidation,36 months,0.1335,41962.0,128.0,117.0,3.0,3.0,4,19.0,3.0,5.0,3.0,0.0,3.0,7,50.0,0,16,15944.0,Fully Paid
79,MS,70000.0,1 year,admin officer/administrator,MORTGAGE,328.43,10000,debt_consolidation,36 months,0.1122,5141.0,231.0,297.0,33.0,5.0,1,11.0,6.0,20.0,4.0,0.0,1.0,7,66.7,0,33,35989.0,Fully Paid
80,PA,80000.0,10+ years,school staff,MORTGAGE,472.14,20000,debt_consolidation,60 months,0.1465,19610.0,195.0,176.0,11.0,9.0,3,0.0,15.0,36.0,12.0,0.0,4.0,33,60.0,0,71,102382.0,Fully Paid
82,PA,75000.0,2 years,machinist,MORTGAGE,345.77,15000,debt_consolidation,60 months,0.1358,28338.0,175.0,243.0,2.0,2.0,4,18.0,4.0,4.0,3.0,0.0,4.0,7,0.0,0,14,7436.0,Charged Off
83,WI,132000.0,10+ years,top executive,MORTGAGE,945.87,28000,credit_card,36 months,0.1318,25487.0,159.0,363.0,9.0,1.0,4,11.0,11.0,6.0,11.0,1.0,2.0,17,57.1,0,33,99940.0,Fully Paid
84,OH,34000.0,10+ years,surgical scheduler,MORTGAGE,163.67,5000,debt_consolidation,36 months,0.1099,7252.0,129.0,120.0,9.0,7.0,1,29.0,9.0,6.0,10.0,0.0,3.0,13,0.0,0,23,16646.0,Fully Paid
85,FL,56000.0,3 years,technician,RENT,85.86,2375,small_business,36 months,0.1799,1129.0,43.0,150.0,6.0,6.0,1,65.0,11.0,1.0,8.0,0.0,4.0,9,16.7,0,15,10161.0,Fully Paid
86,IL,79500.0,2 years,accountant,RENT,289.34,12000,credit_card,60 months,0.1561,3506.0,111.0,80.0,7.0,7.0,0,0.0,9.0,13.0,10.0,0.0,2.0,21,71.4,0,25,73626.0,Fully Paid
87,IL,72000.0,10+ years,probation officer,MORTGAGE,932.68,36000,major_purchase,60 months,0.1894,44467.0,7.0,247.0,21.0,7.0,3,0.0,4.0,1.0,2.0,0.0,1.0,3,0.0,0,13,623.0,Fully Paid
88,MT,50000.0,10+ years,civil deputy,MORTGAGE,109.63,3500,other,36 months,0.0797,14988.0,201.0,467.0,2.0,2.0,3,0.0,6.0,14.0,6.0,0.0,5.0,10,50.0,0,30,26451.0,Fully Paid
89,FL,67000.0,2 years,others,MORTGAGE,348.18,10000,credit_card,36 months,0.1531,2433.0,162.0,228.0,3.0,3.0,1,35.0,13.0,5.0,15.0,0.0,3.0,16,44.4,0,26,38929.0,Fully Paid
90,MO,150000.0,9 years,top executive,MORTGAGE,931.68,30000,credit_card,36 months,0.0739,26775.0,173.0,326.0,15.0,14.0,3,77.0,6.0,9.0,7.0,0.0,0.0,9,16.7,0,20,34611.0,Fully Paid
91,OH,38000.0,10+ years,operator,OWN,180.11,5400,debt_consolidation,36 months,0.1229,5596.0,130.0,212.0,2.0,2.0,1,17.0,6.0,7.0,10.0,0.0,3.0,15,0.0,0,24,72746.0,Fully Paid
92,CA,177000.0,7 years,partner,RENT,776.11,24000,other,36 months,0.1015,19000.0,32.0,188.0,123.0,32.0,0,78.0,3.0,1.0,2.0,0.0,0.0,3,100.0,0,5,57000.0,Fully Paid
93,TX,58000.0,6 years,cst,MORTGAGE,259.99,8000,debt_consolidation,36 months,0.1049,13203.0,131.0,84.0,1.0,1.0,4,3.0,3.0,14.0,13.0,0.0,5.0,16,0.0,0,31,33664.0,Fully Paid
94,MN,31564.8,4 years,sales rep,RENT,516.77,17000,debt_consolidation,60 months,0.2677,2676.0,39.0,79.0,27.0,18.0,0,0.0,3.0,3.0,5.0,0.0,0.0,6,33.3,0,8,16056.0,Fully Paid
95,MN,74000.0,3 years,ICT expert,RENT,398.52,12000,debt_consolidation,36 months,0.1199,5710.0,89.0,138.0,8.0,8.0,0,0.0,6.0,4.0,7.0,0.0,3.0,9,60.0,0,12,51387.0,Fully Paid
96,FL,172000.0,10+ years,top executive,MORTGAGE,466.53,15000,small_business,36 months,0.0749,31855.0,179.0,468.0,15.0,5.0,9,26.0,9.0,9.0,9.0,0.0,2.0,15,16.7,0,31,51692.0,Fully Paid
97,IL,45000.0,10+ years,night security officer,RENT,393.42,15000,medical,60 months,0.1952,3312.0,138.0,456.0,2.0,2.0,1,0.0,21.0,6.0,8.0,0.0,2.0,10,33.3,1,51,33117.0,Charged Off
98,OK,300000.0,10+ years,top executive,MORTGAGE,1073.88,31425,debt_consolidation,36 months,0.1399,8161.0,132.0,191.0,6.0,5.0,0,0.0,9.0,29.0,14.0,1.0,5.0,21,37.5,0,45,171393.0,Fully Paid
99,ID,48000.0,5 years,accounting specialist,OWN,517.56,16000,debt_consolidation,60 months,0.2999,2429.0,35.0,147.0,6.0,6.0,0,0.0,3.0,2.0,9.0,0.0,1.0,11,100.0,1,11,26724.0,Fully Paid
100,MI,105000.0,10+ years,manager,MORTGAGE,311.49,12000,credit_card,60 months,0.1903,21344.0,91.0,185.0,2.0,2.0,4,24.0,12.0,10.0,4.0,0.0,4.0,6,33.3,1,35,18207.0,Fully Paid
101,NC,103000.0,1 year,engineer,MORTGAGE,1202.61,36000,debt_consolidation,36 months,0.124,5105.0,167.0,284.0,24.0,24.0,2,20.0,8.0,7.0,7.0,0.0,0.0,13,85.7,0,18,66367.0,Fully Paid
102,AL,46992.0,2 years,maintenance,OWN,584.91,17000,debt_consolidation,36 months,0.1447,2395.0,61.0,27.0,9.0,6.0,0,0.0,2.0,5.0,3.0,0.0,2.0,4,50.0,0,8,9578.0,Charged Off
103,TX,55000.0,7 years,military officer,MORTGAGE,280.26,8500,debt_consolidation,36 months,0.1149,36115.0,48.0,96.0,4.0,4.0,1,21.0,5.0,4.0,5.0,0.0,3.0,8,66.7,0,11,56272.0,Fully Paid
104,FL,30000.0,9 years,account services,MORTGAGE,174.78,5000,home_improvement,36 months,0.1559,49332.0,144.0,36.0,10.0,10.0,1,0.0,1.0,5.0,3.0,0.0,2.0,4,100.0,0,9,8008.0,Fully Paid
105,TN,80000.0,10+ years,akzo nobel,MORTGAGE,318.51,8900,debt_consolidation,36 months,0.1727,19193.0,123.0,150.0,1.0,1.0,2,0.0,13.0,11.0,9.0,0.0,4.0,12,60.0,1,36,27465.0,Fully Paid
107,CA,16000.0,1 year,driver,OWN,56.69,1600,other,36 months,0.1655,2838.0,32.0,93.0,21.0,21.0,0,0.0,1.0,1.0,3.0,0.0,0.0,3,100.0,0,6,8515.0,Fully Paid
108,CA,60000.0,2 years,journeyman,MORTGAGE,279.1,12000,debt_consolidation,60 months,0.1398,1778.0,213.0,167.0,11.0,11.0,2,42.0,7.0,4.0,12.0,0.0,1.0,14,25.0,0,22,23118.0,Charged Off
109,FL,55873.16,10+ years,manager,RENT,682.46,21000,debt_consolidation,36 months,0.1049,3634.0,130.0,214.0,8.0,8.0,0,46.0,7.0,3.0,10.0,0.0,1.0,11,100.0,0,20,36342.0,Fully Paid
110,VA,73000.0,8 years,engineer,MORTGAGE,722.75,20000,debt_consolidation,36 months,0.1797,21875.0,145.0,144.0,8.0,5.0,1,34.0,3.0,30.0,1.0,0.0,3.0,11,0.0,1,36,38326.0,Fully Paid
111,HI,70000.0,10+ years,unites states coast guard,RENT,116.9,3200,other,36 months,0.1875,3204.0,107.0,97.0,21.0,6.0,0,44.0,6.0,4.0,3.0,0.0,1.0,5,0.0,0,14,12814.0,Fully Paid
112,NY,130000.0,10+ years,director,RENT,733.52,32000,debt_consolidation,60 months,0.1333,9184.0,147.0,335.0,2.0,1.0,4,0.0,13.0,21.0,12.0,0.0,8.0,21,11.1,0,46,183677.0,Fully Paid
114,FL,52000.0,7 years,ptg management company,MORTGAGE,551.79,22750,credit_card,60 months,0.1588,17155.0,156.0,103.0,9.0,9.0,2,0.0,7.0,7.0,8.0,0.0,1.0,10,100.0,1,21,27701.0,Fully Paid
115,TX,123000.0,7 years,vice presidrnt,MORTGAGE,501.74,15000,debt_consolidation,36 months,0.1249,51074.0,122.0,216.0,3.0,2.0,3,69.0,9.0,13.0,4.0,0.0,4.0,7,50.0,0,30,123443.0,Fully Paid
116,AR,36000.0,4 years,customer service,RENT,202.96,4800,other,36 months,0.2969,8283.0,117.0,109.0,35.0,4.0,0,0.0,2.0,20.0,2.0,0.0,3.0,14,100.0,0,29,107683.0,Fully Paid
117,OR,48000.0,6 years,roofer,RENT,306.9,9500,credit_card,36 months,0.1008,3463.0,113.0,132.0,2.0,2.0,0,0.0,8.0,5.0,8.0,0.0,6.0,10,14.3,0,14,34626.0,Charged Off
118,CA,60000.0,2 years,drafter,MORTGAGE,408.04,16000,debt_consolidation,60 months,0.182,19766.0,81.0,135.0,6.0,6.0,2,24.0,5.0,3.0,6.0,0.0,3.0,9,66.7,0,17,69178.0,Charged Off
119,TX,48000.0,6 years,postal officer,RENT,104.07,3000,debt_consolidation,36 months,0.1505,3895.0,67.0,42.0,8.0,7.0,0,41.0,5.0,7.0,3.0,0.0,5.0,6,0.0,0,15,23368.0,Fully Paid
120,NY,77000.0,10+ years,archivist,ANY,855.03,26000,credit_card,36 months,0.1131,8483.0,133.0,295.0,125.0,125.0,0,0.0,3.0,2.0,2.0,0.0,0.0,2,100.0,0,6,16965.0,Fully Paid
121,IL,184000.0,2 years,argo group,MORTGAGE,660.0,20000,credit_card,36 months,0.1155,28680.0,146.0,148.0,4.0,4.0,4,0.0,11.0,3.0,8.0,0.0,2.0,12,75.0,0,27,39298.0,Fully Paid
123,IN,68000.0,2 years,sales rep,MORTGAGE,421.27,16675,credit_card,60 months,0.1776,2212.0,103.0,347.0,11.0,11.0,0,0.0,6.0,7.0,10.0,0.0,1.0,12,83.3,0,20,24332.0,Fully Paid
124,NY,24000.0,10+ years,food services,RENT,257.0,7350,debt_consolidation,36 months,0.1561,840.0,242.0,151.0,2.0,2.0,0,23.0,6.0,8.0,10.0,1.0,4.0,11,100.0,0,22,9243.0,Fully Paid
125,IN,85000.0,9 years,driver,MORTGAGE,330.57,10000,home_improvement,36 months,0.1167,13413.0,127.0,138.0,7.0,7.0,1,0.0,4.0,8.0,4.0,0.0,4.0,7,25.0,0,14,28737.0,Fully Paid
126,TX,102000.0,10+ years,city of austin texas,MORTGAGE,484.24,20000,debt_consolidation,60 months,0.158,6350.0,76.0,185.0,1.0,1.0,3,0.0,16.0,5.0,23.0,0.0,4.0,26,81.2,0,33,50374.0,Fully Paid
128,MN,38000.0,< 1 year,rensch and becker orthondontics,RENT,360.01,13500,debt_consolidation,60 months,0.2031,3394.0,143.0,120.0,13.0,13.0,4,20.0,6.0,11.0,9.0,2.0,0.0,10,66.7,0,30,27155.0,Charged Off
129,NJ,109000.0,4 years,superintendent,RENT,541.04,23000,credit_card,60 months,0.1449,41961.0,80.0,171.0,32.0,14.0,1,22.0,8.0,4.0,3.0,0.0,0.0,6,100.0,0,13,109706.0,Fully Paid
130,MN,49000.0,8 years,health expert,OWN,651.37,20000,debt_consolidation,36 months,0.1064,2183.0,149.0,270.0,4.0,4.0,0,3.0,6.0,4.0,7.0,0.0,1.0,7,66.7,0,18,15281.0,Fully Paid
